feature,importance
bedrooms,0.03892130171084065
bathrooms,0.08519899390493073
sqft_living,0.243524262572885
sqft_lot,0.11366072138655543
floors,0.006389944958716273
waterfront,0.002571900197171254
view,0.026568936824986445
condition,0.012848005856726092
sqft_above,0.16108822006345122
sqft_basement,0.04886881870653055
yr_built,0.09919365584521853
yr_renovated,0.030691967329597086
zipcode,0.13047327064239067
